waspID	nest1	nest2	distance
Wasp2326475346368	Nest2326476808448	Nest2326476840048	21.70525857853616
Wasp2326475346368	Nest2326476840048	Nest2326476928960	12.570977858924314
Wasp2326476707056	Nest2326476837552	Nest2326476902208	62.05998859702324
Wasp2326476707056	Nest2326476902208	Nest2326476961872	69.36423349588217
Wasp2326475277168	Nest2326476809408	Nest2326476872000	12.246222984329256
Wasp2326475277216	Nest2326476836976	Nest2326476869840	25.00221573176607
Wasp2326475277648	Nest2326476929104	Nest2326476961344	17.697651246180104
Wasp2326475277744	Nest2326476962496	Nest2326476963168	24.15070981406827
Wasp2326475277840	Nest2326476869888	Nest2326476962544	18.82326218230823
Wasp2326475278272	Nest2326476840096	Nest2326476960672	30.02069320199925
Wasp2326475278320	Nest2326476779184	Nest2326476869984	35.21059863625945
Wasp2326475278512	Nest2326476837696	Nest2326476899040	44.47217766968619
Wasp2326475278896	Nest2326476778224	Nest2326476837024	54.90006779704906
Wasp2326475278992	Nest2326476811616	Nest2326476837744	50.38727777074094
Wasp2326475278992	Nest2326476837744	Nest2326476873392	23.43950519679228
Wasp2326475279136	Nest2326476870032	Nest2326476902304	34.20071899527267
Wasp2326475279184	Nest2326476810416	Nest2326476811664	31.457071611731354
Wasp2326475279184	Nest2326476811664	Nest2326476927760	20.368051573329094
Wasp2326475279328	Nest2326476960000	Nest2326476962592	36.599958659717636
Wasp2326475279808	Nest2326476779232	Nest2326476899088	52.09772495055828
Wasp2326475280048	Nest2326476899136	Nest2326476929200	47.46510567408776
Wasp2326475280192	Nest2326476779280	Nest2326476811712	37.254429284080594
Wasp2326475649088	Nest2326476899184	Nest2326476929248	14.036747829495408
Wasp2326475649328	Nest2326476837792	Nest2326476899232	50.766600733846396
Wasp2326475649328	Nest2326476899232	Nest2326476963264	12.457950733476643
Wasp2326475649472	Nest2326476900624	Nest2326476902352	81.47966811310079
Wasp2326475649616	Nest2326476776400	Nest2326476899280	7.750826889799698
Wasp2326475649856	Nest2326476927040	Nest2326476929344	24.36810137396709
Wasp2326475650096	Nest2326476837840	Nest2326476960096	5.011759841049143
Wasp2326475650240	Nest2326476900720	Nest2326476929392	15.712936063505968
Wasp2326475650288	Nest2326476870176	Nest2326476900768	55.04750496989225
Wasp2326475650432	Nest2326476927952	Nest2326476962688	30.589089989621343
Wasp2326475650480	Nest2326476837888	Nest2326476900816	29.891302501651545
Wasp2326475650912	Nest2326476808640	Nest2326476839040	12.549669933367229
Wasp2326475650912	Nest2326476839040	Nest2326476960144	71.68126114898486
Wasp2326475651104	Nest2326476839088	Nest2326476960816	27.595778912477684
Wasp2326475651104	Nest2326476960816	Nest2326476962736	21.472692779570774
Wasp2326475651488	Nest2326476900960	Nest2326476929440	31.53890076359886
Wasp2326475651632	Nest2326476927184	Nest2326476963312	50.42768753113564
Wasp2326475652016	Nest2326476810752	Nest2326476872288	44.838981211545544
Wasp2326475652064	Nest2326476872336	Nest2326476961440	16.67858027903514
Wasp2326475652112	Nest2326476871424	Nest2326476927232	16.155402080189965
Wasp2326475652160	Nest2326476838032	Nest2326476961488	32.17204229816325
Wasp2326475652256	Nest2326476811760	Nest2326476872384	71.9838324499844
