waspID	nest1	nest2	distance
Wasp2326475216160	Nest2326475736544	Nest2326475793552	50.06198772963158
Wasp2326475216208	Nest2326475767328	Nest2326475826608	45.71163250724571
Wasp2326475216400	Nest2326475702480	Nest2326475767376	16.88822749357418
Wasp2326475216640	Nest2326475793696	Nest2326475795328	11.800165957966366
Wasp2326475216736	Nest2326475766368	Nest2326475793744	76.79450794268426
Wasp2326475216736	Nest2326475793744	Nest2326475828432	49.54272538663667
Wasp2326475216784	Nest2326475675440	Nest2326475704880	32.58743151755951
Wasp2326475216976	Nest2326475737696	Nest2326475825360	10.656175781028015
Wasp2326475217072	Nest2326475794512	Nest2326475825408	70.20060935448903
Wasp2326475217264	Nest2326475676160	Nest2326475765456	45.697635909678915
Wasp2326475217360	Nest2326475703632	Nest2326475793840	26.653907942261743
Wasp2326475217408	Nest2326475735152	Nest2326475737744	22.2213563857265
Wasp2326475217984	Nest2326475766416	Nest2326475825456	26.867951299825695
Wasp2326475217984	Nest2326475825456	Nest2326475827376	46.64167939962409
Wasp2326475218080	Nest2326475795472	Nest2326475828480	65.29286585642915
Wasp2326475218224	Nest2326475825504	Nest2326475826704	19.298309267559297
Wasp2326475218272	Nest2326475646768	Nest2326475673904	15.218931585558122
Wasp2326475218416	Nest2326475676208	Nest2326475702576	39.871951658762505
Wasp2326475218416	Nest2326475702576	Nest2326475765504	24.31834899457617
Wasp2326475218464	Nest2326475703776	Nest2326475765552	18.452624898943256
Wasp2326475218800	Nest2326475647632	Nest2326475703824	21.890631354961368
Wasp2326475251776	Nest2326475646816	Nest2326475766512	67.2881461240469
Wasp2326475252016	Nest2326475735296	Nest2326475795520	12.651339116123916
Wasp2326475252016	Nest2326475795520	Nest2326475828576	20.64308796498727
Wasp2326475252352	Nest2326475767520	Nest2326475825600	58.05632488453609
Wasp2326475252400	Nest2326475676352	Nest2326475702624	51.23980003681565
Wasp2326475252400	Nest2326475702624	Nest2326475826224	71.04148015815481
Wasp2326475252448	Nest2326475738944	Nest2326475765600	83.22227518917607
Wasp2326475252736	Nest2326475765648	Nest2326475767568	14.968221941588553
Wasp2326475252784	Nest2326475648496	Nest2326475674672	66.7242723136078
Wasp2326475252832	Nest2326475674720	Nest2326475767616	6.346634775409396
Wasp2326475252976	Nest2326475675488	Nest2326475676400	26.976085874701575
Wasp2326475253264	Nest2326475705216	Nest2326475854224	41.04320327485472
Wasp2326475253312	Nest2326475738992	Nest2326475794608	37.42468351572427
Wasp2326475253360	Nest2326475675536	Nest2326475702720	9.734221835867467
Wasp2326475253360	Nest2326475702720	Nest2326475736784	56.71913596729811
Wasp2326475253504	Nest2326475703920	Nest2326475766560	32.237894295866404
Wasp2326475253648	Nest2326475647680	Nest2326475736880	27.51767822730407
Wasp2326475253888	Nest2326475702768	Nest2326475826272	31.032077845193573
Wasp2326475254464	Nest2326475705312	Nest2326475765696	54.06120111238327
Wasp2326475254464	Nest2326475765696	Nest2326475827904	39.64216237753877
Wasp2326475254464	Nest2326475827904	Nest2326475828672	50.85791143300938
Wasp2326475254560	Nest2326475764352	Nest2326475765744	33.51024128181438
Wasp2326475254944	Nest2326475702816	Nest2326475764400	15.193284267004756
Wasp2326475254944	Nest2326475764400	Nest2326475767712	9.047805752772131
Wasp2326475254992	Nest2326475648640	Nest2326475736976	14.917569923305155
Wasp2326475255136	Nest2326475676640	Nest2326475703968	13.092978271919078
Wasp2326475255280	Nest2326475766656	Nest2326475826752	34.08264838811285
Wasp2326475255664	Nest2326475764448	Nest2326475767760	60.82422129847374
Wasp2326475255664	Nest2326475767760	Nest2326475826800	55.21888839166332
Wasp2326475255712	Nest2326475674048	Nest2326475827424	44.073155034456086
Wasp2326475284784	Nest2326475766848	Nest2326475827472	16.48700072200406
Wasp2326475284928	Nest2326475674912	Nest2326475735584	39.30507607957071
Wasp2326475285024	Nest2326475704064	Nest2326475705456	37.50558141248868
Wasp2326475285264	Nest2326475738128	Nest2326475827952	69.46031820316514
Wasp2326475285552	Nest2326475795664	Nest2326475828768	7.7089711018759495
Wasp2326475285696	Nest2326475704256	Nest2326475827520	39.97076624247923
Wasp2326475285696	Nest2326475827520	Nest2326475828000	24.489256493058146
Wasp2326475285888	Nest2326475702864	Nest2326475735632	34.55941028986256
Wasp2326475285936	Nest2326475735680	Nest2326475795712	19.69453823624323
Wasp2326475286080	Nest2326475647296	Nest2326475702912	22.431127987672493
Wasp2326475286512	Nest2326475676976	Nest2326475827568	42.46459284066504
Wasp2326475286656	Nest2326475764592	Nest2326475828864	58.38550740565882
Wasp2326475286848	Nest2326475677024	Nest2326475735728	52.64986498596839
Wasp2326475286848	Nest2326475735728	Nest2326475764688	8.20413622045944
Wasp2326475286848	Nest2326475764688	Nest2326475825792	79.25575755582946
Wasp2326475287040	Nest2326475739088	Nest2326475826896	36.819608232157286
Wasp2326475287136	Nest2326475792592	Nest2326475794032	61.279922582707535
Wasp2326475287280	Nest2326475675776	Nest2326475705552	50.32232982761575
Wasp2326475287424	Nest2326475737216	Nest2326475792640	27.436171761372783
Wasp2326475287664	Nest2326475795808	Nest2326475854368	23.430622519177906
Wasp2326475287808	Nest2326475704352	Nest2326475825840	33.50037707814905
Wasp2326475287856	Nest2326475674096	Nest2326475763776	26.034721946512875
Wasp2326475287856	Nest2326475763776	Nest2326475795856	20.042252120197016
Wasp2326475288048	Nest2326475648784	Nest2326475705600	21.15951507512439
