waspID	nest1	nest2	distance
Wasp2326480235008	Nest2326481022016	Nest2326480878560	18.613332896949867
Wasp2326480235104	Nest2326480757664	Nest2326480835008	13.169786707090685
Wasp2326480235344	Nest2326480895472	Nest2326481019616	15.75298999341777
Wasp2326480235344	Nest2326481019616	Nest2326480914032	5.041214109619127
Wasp2326480235344	Nest2326480914032	Nest2326480836688	24.334770055009223
Wasp2326480234864	Nest2326481022112	Nest2326480914848	37.32596449304928
Wasp2326480234864	Nest2326480914848	Nest2326480836208	31.334262007493823
Wasp2326480235632	Nest2326480790480	Nest2326480838320	12.038383013474538
Wasp2326480235776	Nest2326480878464	Nest2326480757040	58.78372195715532
Wasp2326480235776	Nest2326480757040	Nest2326480838608	36.04524465669941
Wasp2326480235968	Nest2326481019760	Nest2326480790528	5.186082339623311
Wasp2326480235968	Nest2326480790528	Nest2326480837120	8.935397314329098
Wasp2326480236064	Nest2326480759200	Nest2326480792208	14.078569273301907
Wasp2326480236400	Nest2326480913600	Nest2326480836784	40.47814816162455
Wasp2326480236448	Nest2326480915040	Nest2326480876784	40.61584280640401
Wasp2326480236496	Nest2326480914992	Nest2326480759248	42.03940530255059
Wasp2326480302192	Nest2326480760304	Nest2326480793312	20.034811883192123
Wasp2326480302336	Nest2326480895904	Nest2326481020768	54.691246289632865
Wasp2326480302672	Nest2326481022256	Nest2326480915952	28.91588132000209
Wasp2326480303104	Nest2326480878848	Nest2326480757232	4.169939167812926
Wasp2326480303152	Nest2326481022208	Nest2326480759392	35.01214005589311
Wasp2326480303152	Nest2326480759392	Nest2326480793408	15.608344855984113
Wasp2326480303248	Nest2326480792256	Nest2326480837264	37.375157184616384
Wasp2326480303728	Nest2326480757328	Nest2326480790720	40.43601554919205
Wasp2326480304208	Nest2326481022304	Nest2326480792352	31.020632891144757
Wasp2326480304400	Nest2326481022448	Nest2326480915232	30.505942290075573
Wasp2326480304448	Nest2326481021344	Nest2326480792400	52.46951795606072
Wasp2326480304640	Nest2326480876592	Nest2326480792448	50.77504458431347
Wasp2326480304832	Nest2326480792304	Nest2326480836736	3.5228590070055117
Wasp2326480304880	Nest2326480758192	Nest2326480760352	23.500650293381614
Wasp2326480304880	Nest2326480760352	Nest2326480793360	21.86496298458976
Wasp2326480304928	Nest2326480913936	Nest2326480915088	48.31154888171854
Wasp2326480305024	Nest2326480916432	Nest2326480757424	11.400251925569538
Wasp2326480305024	Nest2326480757424	Nest2326481421120	16.5218492178685
Wasp2326480305312	Nest2326480876880	Nest2326480836112	15.17153255155855
Wasp2326480305360	Nest2326481021536	Nest2326480915184	32.219377925130736
Wasp2326480305360	Nest2326480915184	Nest2326480877024	28.8435579868716
Wasp2326480305456	Nest2326480875728	Nest2326480757376	54.714540739363244
Wasp2326480305552	Nest2326480758240	Nest2326480760064	44.48428140705693
Wasp2326480305696	Nest2326480915280	Nest2326480759440	7.5043540332050656
Wasp2326480305744	Nest2326481020960	Nest2326481022640	16.771241378772473
Wasp2326480305792	Nest2326480758336	Nest2326480793504	12.61368525332559
Wasp2326480306080	Nest2326480790960	Nest2326480836832	14.416948606357527
Wasp2326480117872	Nest2326481022592	Nest2326480757280	54.19839405363033
Wasp2326480117872	Nest2326480757280	Nest2326480760496	22.96342945172779
Wasp2326480118112	Nest2326481019952	Nest2326481022880	26.65093878671992
Wasp2326480118832	Nest2326480877168	Nest2326480837648	14.617417554201745
Wasp2326480118928	Nest2326480790816	Nest2326480793456	29.120238647346685
Wasp2326480118976	Nest2326480915520	Nest2326480877312	6.965919090290612
Wasp2326480119120	Nest2326480791056	Nest2326481420544	12.313693082703544
Wasp2326480119168	Nest2326480875824	Nest2326480760592	12.628368871287956
