id,id_2,X,Y,InsPixel,NDVIPixel
"705","1",23261.065686000001733,197901.704557999997633,365478.84375,
"706","1",23261.565686000001733,197901.704557999997633,412033.65625,
"915","1",23259.565686000001733,197901.204557999997633,434156.09375,0.44781
"916","1",23260.065686000001733,197901.204557999997633,216884.95313,0.32226
"917","1",23260.565686000001733,197901.204557999997633,452214.78125,0.34982
"918","1",23261.065686000001733,197901.204557999997633,313025.40625,0.38843
"919","1",23261.565686000001733,197901.204557999997633,397296.50000,0.51899
"1126","1",23258.565686000001733,197900.704557999997633,162472.04688,0.28280
"1127","1",23259.065686000001733,197900.704557999997633,415359.34375,0.33138
"1128","1",23259.565686000001733,197900.704557999997633,382088.56250,0.31210
"1129","1",23260.065686000001733,197900.704557999997633,381407.81250,0.37380
"1130","1",23260.565686000001733,197900.704557999997633,424123.25000,0.47604
"1131","1",23261.065686000001733,197900.704557999997633,438713.12500,0.32804
"1132","1",23261.565686000001733,197900.704557999997633,398425.81250,0.25373
"1133","1",23262.065686000001733,197900.704557999997633,376648.43750,0.26000
"1229","1",23310.065686000001733,197900.704557999997633,334329.15625,0.28571
"1230","1",23310.565686000001733,197900.704557999997633,308605.28125,0.15698
"1231","1",23311.065686000001733,197900.704557999997633,356587.18750,0.02941
"1232","1",23311.565686000001733,197900.704557999997633,341034.78125,0.06704
"1233","1",23312.065686000001733,197900.704557999997633,366979.15625,0.05584
"1234","1",23312.565686000001733,197900.704557999997633,351789.50000,0.03837
"1235","1",23313.065686000001733,197900.704557999997633,395276.53125,0.05211
"1236","1",23313.565686000001733,197900.704557999997633,389811.53125,0.03297
"1237","1",23314.065686000001733,197900.704557999997633,404360.78125,0.02092
"1238","1",23314.565686000001733,197900.704557999997633,381327.46875,0.03653
"1239","1",23315.065686000001733,197900.704557999997633,392340.50000,0.06250
"1240","1",23315.565686000001733,197900.704557999997633,379388.87500,0.02490
"1241","1",23316.065686000001733,197900.704557999997633,370900.28125,0.13472
"1242","1",23316.565686000001733,197900.704557999997633,348295.90625,0.05660
"1243","1",23317.065686000001733,197900.704557999997633,380417.34375,0.02921
"1244","1",23317.565686000001733,197900.704557999997633,377391.06250,0.03524
"1337","1",23257.565686000001733,197900.204557999997633,321194.46875,0.36531
"1338","1",23258.065686000001733,197900.204557999997633,153480.43750,0.30383
"1339","1",23258.565686000001733,197900.204557999997633,408404.09375,0.25668
"1340","1",23259.065686000001733,197900.204557999997633,446814.75000,0.38562
"1341","1",23259.565686000001733,197900.204557999997633,260576.81250,0.24538
"1342","1",23260.065686000001733,197900.204557999997633,255207.42188,0.32934
"1343","1",23260.565686000001733,197900.204557999997633,337933.50000,0.28049
"1344","1",23261.065686000001733,197900.204557999997633,407900.65625,0.26904
"1345","1",23261.565686000001733,197900.204557999997633,237007.39063,0.31200
"1346","1",23262.065686000001733,197900.204557999997633,400293.09375,0.32099
"1347","1",23262.565686000001733,197900.204557999997633,283306.25000,0.40614
"1442","1",23310.065686000001733,197900.204557999997633,379001.21875,0.16471
"1443","1",23310.565686000001733,197900.204557999997633,322025.81250,0.28522
"1444","1",23311.065686000001733,197900.204557999997633,358846.37500,0.25292
"1445","1",23311.565686000001733,197900.204557999997633,408885.25000,0.01235
"1446","1",23312.065686000001733,197900.204557999997633,433030.65625,0.01014
"1447","1",23312.565686000001733,197900.204557999997633,434986.21875,0.02326
"1448","1",23313.065686000001733,197900.204557999997633,432714.28125,0.03609
"1449","1",23313.565686000001733,197900.204557999997633,414368.68750,0.01660
"1450","1",23314.065686000001733,197900.204557999997633,399690.09375,0.03756
"1451","1",23314.565686000001733,197900.204557999997633,412434.96875,0.07543
"1452","1",23315.065686000001733,197900.204557999997633,401130.90625,0.08021
"1453","1",23315.565686000001733,197900.204557999997633,388644.03125,0.38562
"1454","1",23316.065686000001733,197900.204557999997633,373993.18750,0.04167
"1455","1",23316.565686000001733,197900.204557999997633,399517.18750,0.00592
"1456","1",23317.065686000001733,197900.204557999997633,384617.37500,0.12668
"1457","1",23317.565686000001733,197900.204557999997633,395053.00000,0.03347
"1458","1",23318.065686000001733,197900.204557999997633,407725.84375,0.09735
"1459","1",23318.565686000001733,197900.204557999997633,408769.50000,0.14286
"1460","1",23319.065686000001733,197900.204557999997633,405909.31250,0.13021
"1461","1",23319.565686000001733,197900.204557999997633,368444.59375,0.15493
"1462","1",23320.065686000001733,197900.204557999997633,354253.09375,0.04762
"1463","1",23320.565686000001733,197900.204557999997633,404850.84375,0.01818
"1547","1",23256.065686000001733,197899.704557999997633,351173.50000,0.22603
"1548","1",23256.565686000001733,197899.704557999997633,355932.25000,0.21978
"1549","1",23257.065686000001733,197899.704557999997633,433485.81250,0.30631
"1550","1",23257.565686000001733,197899.704557999997633,348987.50000,0.30035
"1551","1",23258.065686000001733,197899.704557999997633,401203.56250,0.27746
"1552","1",23258.565686000001733,197899.704557999997633,432574.12500,0.34000
"1553","1",23259.065686000001733,197899.704557999997633,442128.18750,0.29944
"1554","1",23259.565686000001733,197899.704557999997633,314395.03125,0.36223
"1555","1",23260.065686000001733,197899.704557999997633,367367.28125,0.36517
"1556","1",23260.565686000001733,197899.704557999997633,366379.34375,0.39519
"1557","1",23261.065686000001733,197899.704557999997633,355413.68750,0.24876
"1558","1",23261.565686000001733,197899.704557999997633,400386.81250,0.58798
"1559","1",23262.065686000001733,197899.704557999997633,171895.18750,0.42363
"1560","1",23262.565686000001733,197899.704557999997633,80441.02344,0.69737
"1561","1",23263.065686000001733,197899.704557999997633,159042.57813,0.60256
"1655","1",23310.065686000001733,197899.704557999997633,297870.84375,0.21886
"1656","1",23310.565686000001733,197899.704557999997633,316793.68750,0.30000
"1657","1",23311.065686000001733,197899.704557999997633,318485.25000,0.14085
"1658","1",23311.565686000001733,197899.704557999997633,403439.06250,0.14045
"1659","1",23312.065686000001733,197899.704557999997633,436118.46875,0.02917
"1660","1",23312.565686000001733,197899.704557999997633,443659.37500,0.02268
"1661","1",23313.065686000001733,197899.704557999997633,439548.43750,0.01230
"1662","1",23313.565686000001733,197899.704557999997633,439851.12500,0.02366
"1663","1",23314.065686000001733,197899.704557999997633,435101.46875,0.01018
"1664","1",23314.565686000001733,197899.704557999997633,435951.21875,0.01461
"1665","1",23315.065686000001733,197899.704557999997633,424909.53125,0.06067
"1666","1",23315.565686000001733,197899.704557999997633,440203.40625,0.03198
"1667","1",23316.065686000001733,197899.704557999997633,455557.93750,0.01887
"1668","1",23316.565686000001733,197899.704557999997633,453355.28125,0.03132
"1669","1",23317.065686000001733,197899.704557999997633,455530.18750,0.05470
"1670","1",23317.565686000001733,197899.704557999997633,465500.40625,0.18266
"1671","1",23318.065686000001733,197899.704557999997633,462365.71875,0.12312
"1672","1",23318.565686000001733,197899.704557999997633,455304.03125,0.13483
"1673","1",23319.065686000001733,197899.704557999997633,450886.15625,0.19355
"1674","1",23319.565686000001733,197899.704557999997633,446220.84375,0.12704
"1675","1",23320.065686000001733,197899.704557999997633,460920.00000,0.15224
"1676","1",23320.565686000001733,197899.704557999997633,406246.53125,0.15294
"1677","1",23321.065686000001733,197899.704557999997633,409214.18750,0.03433
"1678","1",23321.565686000001733,197899.704557999997633,362715.81250,0.06905
"1758","1",23255.065686000001733,197899.204557999997633,398755.25000,0.45806
"1759","1",23255.565686000001733,197899.204557999997633,397792.87500,0.10680
"1760","1",23256.065686000001733,197899.204557999997633,296911.93750,0.27273
"1761","1",23256.565686000001733,197899.204557999997633,389229.21875,0.30831
"1762","1",23257.065686000001733,197899.204557999997633,346646.62500,0.38138
"1763","1",23257.565686000001733,197899.204557999997633,399991.71875,0.34177
"1764","1",23258.065686000001733,197899.204557999997633,406674.15625,0.26506
"1765","1",23258.565686000001733,197899.204557999997633,306628.68750,0.47264
"1766","1",23259.065686000001733,197899.204557999997633,234431.04688,0.42007
"1767","1",23259.565686000001733,197899.204557999997633,314850.09375,0.34769
"1768","1",23260.065686000001733,197899.204557999997633,426512.34375,0.31414
"1769","1",23260.565686000001733,197899.204557999997633,409922.28125,0.33333
"1770","1",23261.065686000001733,197899.204557999997633,332005.65625,0.45930
"1771","1",23261.565686000001733,197899.204557999997633,339773.59375,0.37764
"1772","1",23262.065686000001733,197899.204557999997633,192239.92188,0.57414
"1773","1",23262.565686000001733,197899.204557999997633,313076.15625,0.56204
"1774","1",23263.065686000001733,197899.204557999997633,162997.62500,0.45338
"1775","1",23263.565686000001733,197899.204557999997633,342722.96875,0.42693
"1868","1",23310.065686000001733,197899.204557999997633,259895.03125,0.25566
"1869","1",23310.565686000001733,197899.204557999997633,358782.00000,0.18318
"1870","1",23311.065686000001733,197899.204557999997633,374145.84375,0.13761
"1871","1",23311.565686000001733,197899.204557999997633,322334.40625,0.16923
"1872","1",23312.065686000001733,197899.204557999997633,382662.62500,0.15294
"1873","1",23312.565686000001733,197899.204557999997633,425521.96875,0.01022
"1874","1",23313.065686000001733,197899.204557999997633,428734.21875,0.00810
"1875","1",23313.565686000001733,197899.204557999997633,428651.21875,0.05140
"1876","1",23314.065686000001733,197899.204557999997633,432085.87500,0.02692
"1877","1",23314.565686000001733,197899.204557999997633,432016.62500,0.04000
"1878","1",23315.065686000001733,197899.204557999997633,423730.96875,0.10123
"1879","1",23315.565686000001733,197899.204557999997633,442909.09375,0.06236
"1880","1",23316.065686000001733,197899.204557999997633,449608.56250,0.13812
"1881","1",23316.565686000001733,197899.204557999997633,458500.12500,0.02979
"1882","1",23317.065686000001733,197899.204557999997633,466073.78125,0.10949
"1883","1",23317.565686000001733,197899.204557999997633,458724.03125,0.07342
"1884","1",23318.065686000001733,197899.204557999997633,453640.34375,0.17302
"1885","1",23318.565686000001733,197899.204557999997633,454533.71875,0.00394
"1886","1",23319.065686000001733,197899.204557999997633,452644.59375,0.00394
"1887","1",23319.565686000001733,197899.204557999997633,451386.15625,0.02287
"1888","1",23320.065686000001733,197899.204557999997633,448483.53125,0.01887
"1889","1",23320.565686000001733,197899.204557999997633,448952.09375,0.14646
"1890","1",23321.065686000001733,197899.204557999997633,454856.21875,0.11873
"1891","1",23321.565686000001733,197899.204557999997633,446283.21875,0.00000
"1970","1",23254.565686000001733,197898.704557999997633,352785.59375,0.26573
"1971","1",23255.065686000001733,197898.704557999997633,373912.03125,0.23418
"1972","1",23255.565686000001733,197898.704557999997633,385770.09375,0.21557
"1973","1",23256.065686000001733,197898.704557999997633,402904.06250,0.22674
"1974","1",23256.565686000001733,197898.704557999997633,422095.31250,0.35393
"1975","1",23257.065686000001733,197898.704557999997633,400314.96875,0.34933
"1976","1",23257.565686000001733,197898.704557999997633,404638.15625,0.18072
"1977","1",23258.065686000001733,197898.704557999997633,454222.43750,0.40717
"1978","1",23258.565686000001733,197898.704557999997633,457742.65625,0.42667
"1979","1",23259.065686000001733,197898.704557999997633,331026.65625,0.33544
"1980","1",23259.565686000001733,197898.704557999997633,392639.87500,0.40606
"1981","1",23260.065686000001733,197898.704557999997633,426777.59375,0.21446
"1982","1",23260.565686000001733,197898.704557999997633,364859.31250,0.23529
"1983","1",23261.065686000001733,197898.704557999997633,427668.03125,0.34132
"1984","1",23261.565686000001733,197898.704557999997633,345351.78125,0.49481
"1985","1",23262.065686000001733,197898.704557999997633,414719.93750,0.30570
"1986","1",23262.565686000001733,197898.704557999997633,429324.50000,0.42776
"1987","1",23263.065686000001733,197898.704557999997633,332709.81250,0.33156
"1988","1",23263.565686000001733,197898.704557999997633,386128.59375,0.28571
"1989","1",23264.065686000001733,197898.704557999997633,402630.68750,0.29744
"2081","1",23310.065686000001733,197898.704557999997633,341022.03125,0.25949
"2082","1",23310.565686000001733,197898.704557999997633,384506.15625,0.14815
"2083","1",23311.065686000001733,197898.704557999997633,390874.50000,0.21300
"2084","1",23311.565686000001733,197898.704557999997633,369089.09375,0.21036
"2085","1",23312.065686000001733,197898.704557999997633,381408.50000,0.01709
"2086","1",23312.565686000001733,197898.704557999997633,419548.09375,0.12181
"2087","1",23313.065686000001733,197898.704557999997633,431742.06250,0.06870
"2088","1",23313.565686000001733,197898.704557999997633,435326.81250,0.14986
"2089","1",23314.065686000001733,197898.704557999997633,432023.40625,0.03965
"2090","1",23314.565686000001733,197898.704557999997633,436054.09375,0.05386
"2091","1",23315.065686000001733,197898.704557999997633,440029.31250,0.09976
"2092","1",23315.565686000001733,197898.704557999997633,439455.50000,0.02101
"2093","1",23316.065686000001733,197898.704557999997633,451900.15625,0.09390
"2094","1",23316.565686000001733,197898.704557999997633,453653.21875,0.13260
"2095","1",23317.065686000001733,197898.704557999997633,453677.93750,0.12834
"2096","1",23317.565686000001733,197898.704557999997633,458846.34375,0.19344
"2097","1",23318.065686000001733,197898.704557999997633,448958.12500,0.16624
"2098","1",23318.565686000001733,197898.704557999997633,460314.43750,0.11468
"2099","1",23319.065686000001733,197898.704557999997633,457191.96875,0.10070
"2100","1",23319.565686000001733,197898.704557999997633,452152.12500,0.00394
"2101","1",23320.065686000001733,197898.704557999997633,458712.90625,0.06364
"2102","1",23320.565686000001733,197898.704557999997633,462584.15625,0.06881
"2103","1",23321.065686000001733,197898.704557999997633,457637.65625,0.13483
"2104","1",23321.565686000001733,197898.704557999997633,457668.90625,0.13386
"2105","1",23322.065686000001733,197898.704557999997633,418447.31250,-0.02232
"2182","1",23254.065686000001733,197898.204557999997633,425027.87500,0.14441
"2183","1",23254.565686000001733,197898.204557999997633,388784.81250,0.07207
"2184","1",23255.065686000001733,197898.204557999997633,434426.78125,0.07159
"2185","1",23255.565686000001733,197898.204557999997633,411245.65625,0.07543
"2186","1",23256.065686000001733,197898.204557999997633,423658.18750,0.15873
"2187","1",23256.565686000001733,197898.204557999997633,410647.09375,0.25532
"2188","1",23257.065686000001733,197898.204557999997633,309194.25000,0.13043
"2189","1",23257.565686000001733,197898.204557999997633,382972.62500,0.30723
"2190","1",23258.065686000001733,197898.204557999997633,455920.84375,0.40719
"2191","1",23258.565686000001733,197898.204557999997633,445317.93750,0.35411
"2192","1",23259.065686000001733,197898.204557999997633,328557.03125,0.24731
"2193","1",23259.565686000001733,197898.204557999997633,342821.06250,0.22507
"2194","1",23260.065686000001733,197898.204557999997633,434263.71875,0.25203
"2195","1",23260.565686000001733,197898.204557999997633,429651.87500,0.34417
"2196","1",23261.065686000001733,197898.204557999997633,439447.00000,0.26448
