waspID	nest1	nest2	distance
Wasp2326478426752	Nest2326474986016	Nest2326478167440	8.150504865209166
Wasp2326478427904	Nest2326474986304	Nest2326478205952	54.27273438073399
Wasp2326478426608	Nest2326477687632	Nest2326477688208	8.121830802032123
Wasp2326478426608	Nest2326477688208	Nest2326474987408	36.075933195270274
Wasp2326478428480	Nest2326478164416	Nest2326478166864	15.311123521965483
Wasp2326478429632	Nest2326477648848	Nest2326477651200	7.195020655614936
Wasp2326478428048	Nest2326474987264	Nest2326474988848	24.243463973119574
Wasp2326478428048	Nest2326474988848	Nest2326478166912	36.708414518279355
Wasp2326478428768	Nest2326478206624	Nest2326478208016	15.640331840473733
Wasp2326478429824	Nest2326477651248	Nest2326477686912	21.57283685831782
Wasp2326478427568	Nest2326477688160	Nest2326475062096	14.635865547290692
Wasp2326478427568	Nest2326475062096	Nest2326474987504	32.579405738706114
Wasp2326478429872	Nest2326477651296	Nest2326477687680	20.741946492154437
Wasp2326478428144	Nest2326477651920	Nest2326475081568	25.76388283463223
Wasp2326478426944	Nest2326475082768	Nest2326474988992	58.665443892807886
Wasp2326478429920	Nest2326474987552	Nest2326478205088	28.552211259783544
Wasp2326478428960	Nest2326475061616	Nest2326478166960	28.105307566803702
Wasp2326478429008	Nest2326477685664	Nest2326475081232	5.29828905374047
Wasp2326478429008	Nest2326475081232	Nest2326475061472	1.5504093702434298
Wasp2326477612368	Nest2326477650720	Nest2326475060032	33.18522093691238
Wasp2326477612368	Nest2326475060032	Nest2326475061664	21.711049896118492
Wasp2326477615008	Nest2326477684800	Nest2326475079936	12.62844320162927
Wasp2326477614528	Nest2326475082720	Nest2326475063152	13.092190934301357
Wasp2326477614096	Nest2326477648176	Nest2326477651344	2.4347747099279804
Wasp2326477612752	Nest2326475060176	Nest2326478206096	5.429837986944313
Wasp2326477614144	Nest2326474989040	Nest2326478206672	44.70351987726328
Wasp2326477612416	Nest2326477649184	Nest2326477651488	34.30738042516988
Wasp2326477612416	Nest2326477651488	Nest2326477687776	21.330789320243802
Wasp2326477614864	Nest2326475081424	Nest2326478206528	38.00730309315959
Wasp2326477614192	Nest2326478167488	Nest2326478208112	22.046298864128087
Wasp2326477613280	Nest2326478165760	Nest2326478167008	4.6232264046837885
Wasp2326477614336	Nest2326477684848	Nest2326475080080	19.227844052087093
Wasp2326477614336	Nest2326475080080	Nest2326474989088	36.27109120078523
Wasp2326477613568	Nest2326474986256	Nest2326474989136	30.650026702988182
Wasp2326477613616	Nest2326475062240	Nest2326478167680	21.898724277275075
Wasp2326477614384	Nest2326475082912	Nest2326478205328	27.241289426249242
Wasp2326477613712	Nest2326477648224	Nest2326475060128	6.668921667966668
Wasp2326477614432	Nest2326477685760	Nest2326478164560	44.42504181656406
Wasp2326477612176	Nest2326475080128	Nest2326475061856	14.356341879057384
Wasp2326477612176	Nest2326475061856	Nest2326475063104	15.888020724330707
Wasp2326477612560	Nest2326477651536	Nest2326475062384	24.62251145777843
Wasp2326477611072	Nest2326475060272	Nest2326474986448	33.00126829069953
Wasp2326477611264	Nest2326477684992	Nest2326474989184	1.4087723878845986
Wasp2326477612464	Nest2326477688064	Nest2326475083008	44.03708737231795
Wasp2326477612464	Nest2326475083008	Nest2326478207488	35.53969444224436
Wasp2326478096752	Nest2326475081712	Nest2326478165856	29.026087883459798
Wasp2326478096896	Nest2326474989328	Nest2326478207536	55.00518349916174
Wasp2326478097040	Nest2326477651392	Nest2326474989376	27.404106777661777
Wasp2326478097280	Nest2326475083344	Nest2326474987840	33.68609838972687
Wasp2326478097328	Nest2326477650864	Nest2326475060416	8.275383991079813
Wasp2326478097424	Nest2326477686000	Nest2326475060512	18.76178989433246
Wasp2326478097424	Nest2326475060512	Nest2326475062336	28.64037945507286
Wasp2326478097856	Nest2326477687872	Nest2326475083152	40.97057490716739
Wasp2326478097856	Nest2326475083152	Nest2326474989520	26.11361979224021
Wasp2326478098144	Nest2326475081856	Nest2326478207584	45.96900106643727
Wasp2326478098288	Nest2326475060464	Nest2326478206144	19.265529067985064
Wasp2326478409792	Nest2326477648752	Nest2326475080368	27.08607203085781
Wasp2326478410080	Nest2326477650912	Nest2326475061808	5.331445440325074
Wasp2326478410176	Nest2326477687008	Nest2326475062288	58.90003248480672
Wasp2326478410464	Nest2326474987600	Nest2326478205472	18.572923480276415
Wasp2326478410512	Nest2326475060560	Nest2326478206576	3.42660814173191
Wasp2326478410800	Nest2326477650144	Nest2326475080512	41.723816699645184
Wasp2326478410848	Nest2326477685904	Nest2326475082000	25.43441041229519
Wasp2326478410944	Nest2326474989424	Nest2326478166192	28.646047474863856
Wasp2326478410944	Nest2326478166192	Nest2326478205376	76.3538517047175
Wasp2326478411040	Nest2326475081904	Nest2326474986352	6.680251808918655
Wasp2326478411088	Nest2326477688256	Nest2326478167152	21.575204263088285
Wasp2326478411424	Nest2326475082144	Nest2326474985632	33.54301161196404
Wasp2326478411712	Nest2326474987888	Nest2326478164848	33.60001296561908
Wasp2326478411856	Nest2326475083584	Nest2326474989472	79.15363136483559
Wasp2326478412192	Nest2326477687104	Nest2326478164752	6.702856141255513
Wasp2326478412192	Nest2326478164752	Nest2326478167584	2.395864462875327
Wasp2326478412336	Nest2326475083632	Nest2326478164944	20.084216975476746
Wasp2326478412576	Nest2326478205568	Nest2326478207680	25.545403689805795
Wasp2326478412672	Nest2326477686192	Nest2326477687200	11.855115545172549
Wasp2326478412672	Nest2326477687200	Nest2326478167776	61.029073216060524
Wasp2326478412912	Nest2326477650192	Nest2326475080656	49.89565429186564
Wasp2326478412912	Nest2326475080656	Nest2326474986640	29.080251190481206
Wasp2326478412960	Nest2326474987792	Nest2326478164992	72.65024371334638
Wasp2326478412960	Nest2326478164992	Nest2326478167824	80.50706619640187
Wasp2326478413152	Nest2326477685136	Nest2326475083488	9.059989774313433
Wasp2326478413152	Nest2326475083488	Nest2326474986592	14.148116379949547
Wasp2326478413344	Nest2326475083728	Nest2326478165088	15.582296609841713
Wasp2326478413344	Nest2326478165088	Nest2326478206240	77.47062197741872
Wasp2326478413440	Nest2326475083680	Nest2326475062576	71.92199701695408
Wasp2326478413440	Nest2326475062576	Nest2326474988080	43.37750023008817
Wasp2326478413536	Nest2326478166336	Nest2326478207056	32.98045584065691
Wasp2326477607024	Nest2326477650432	Nest2326477685376	35.826669844139666
Wasp2326477607264	Nest2326474988128	Nest2326478165040	36.04270928851639
Wasp2326477607552	Nest2326478164128	Nest2326478167200	38.996571303630326
Wasp2326477608224	Nest2326477686384	Nest2326475080752	52.11455570921916
Wasp2326477608224	Nest2326475080752	Nest2326475060896	61.38717485563606
Wasp2326477608416	Nest2326474988272	Nest2326478164896	16.038234233707755
Wasp2326477608608	Nest2326475061040	Nest2326474985968	32.14405301320651
Wasp2326477608896	Nest2326475082192	Nest2326474988320	31.695716014448855
Wasp2326477609520	Nest2326477688592	Nest2326474988512	46.57862253776813
Wasp2326477609520	Nest2326474988512	Nest2326478164176	55.03765892034239
Wasp2326477609664	Nest2326477686432	Nest2326477687392	8.18074350517564
Wasp2326477609664	Nest2326477687392	Nest2326475061088	26.532206028189343
Wasp2326477609712	Nest2326475080848	Nest2326478165184	24.378458704892697
Wasp2326477609712	Nest2326478165184	Nest2326478207872	14.83396446695267
Wasp2326477609952	Nest2326474988608	Nest2326478167296	14.010354563971363
Wasp2326477610048	Nest2326475061232	Nest2326475061904	1.324674286368027
Wasp2326477610048	Nest2326475061904	Nest2326475062624	16.790183648030506
Wasp2326477610240	Nest2326474986976	Nest2326478167968	13.489653683260556
Wasp2326477610240	Nest2326478167968	Nest2326478205520	22.906197181962295
Wasp2326477610240	Nest2326478205520	Nest2326478206192	41.0999483806547
Wasp2326477610288	Nest2326477685520	Nest2326475082288	74.6933976974336
Wasp2326477610384	Nest2326475080800	Nest2326475082096	4.124284475435928
Wasp2326477610432	Nest2326478165280	Nest2326478205664	23.44948796470978
Wasp2326477610432	Nest2326478205664	Nest2326478206288	14.572991478231437
Wasp2326477610432	Nest2326478206288	Nest2326478208352	14.104876034200945
Wasp2326477610528	Nest2326477686576	Nest2326475061184	48.92988749808729
Wasp2326477610528	Nest2326475061184	Nest2326474987072	65.84720268360921
Wasp2326477610576	Nest2326475082384	Nest2326475062672	14.74612821788718
Wasp2326477610576	Nest2326475062672	Nest2326478208496	29.1163424466637
Wasp2326477610960	Nest2326475061280	Nest2326478165232	66.72494646947274
Wasp2326477672944	Nest2326474986112	Nest2326478207104	45.65825727595391
Wasp2326477673232	Nest2326477685568	Nest2326477688640	1.278877980474706
Wasp2326477673280	Nest2326477650384	Nest2326475082480	24.098958805706562
Wasp2326477673760	Nest2326477649616	Nest2326475062480	40.2067413247211
Wasp2326477674048	Nest2326475061376	Nest2326478167920	30.615326861337252
Wasp2326477674048	Nest2326478167920	Nest2326478208592	8.558416236424053
Wasp2326477674192	Nest2326477651728	Nest2326477687488	18.587756784062346
Wasp2326477674192	Nest2326477687488	Nest2326477688112	55.37015769438039
Wasp2326477674288	Nest2326475061424	Nest2326478166528	49.845060053595944
