waspID	nest1	nest2	distance
Wasp2326477212976	Nest2326477435760	Nest2326477465248	44.03508783739881
Wasp2326477213120	Nest2326477435808	Nest2326477211776	34.267038983632354
Wasp2326477213168	Nest2326477368816	Nest2326476467264	43.67766452312731
Wasp2326477213600	Nest2326477410064	Nest2326477435856	18.3746587490863
Wasp2326477213648	Nest2326477409200	Nest2326477410112	24.38794061736023
Wasp2326477239056	Nest2326477408000	Nest2326477211152	64.81517895829572
Wasp2326477239056	Nest2326477211152	Nest2326477209808	37.63649592331235
Wasp2326477239104	Nest2326476467408	Nest2326477757072	35.88935386912155
Wasp2326477239200	Nest2326477438256	Nest2326476464960	15.960868350550678
Wasp2326477239632	Nest2326476465056	Nest2326477771104	45.67976905528467
Wasp2326477239680	Nest2326477463904	Nest2326477467552	24.71855391164147
Wasp2326477240160	Nest2326476465152	Nest2326477756496	27.174291452910815
Wasp2326477240256	Nest2326477464048	Nest2326477465392	10.767414952910901
Wasp2326477240544	Nest2326477408096	Nest2326477438304	5.894460991470545
Wasp2326477240592	Nest2326477409392	Nest2326477435904	47.81130725230799
Wasp2326477241168	Nest2326477409488	Nest2326476465200	25.349046855446918
Wasp2326477241168	Nest2326476465200	Nest2326477757600	29.381915788760573
Wasp2326477241360	Nest2326477438352	Nest2326476465248	26.546259459966585
Wasp2326477241360	Nest2326476465248	Nest2326477757648	4.561544237533808
Wasp2326477241360	Nest2326477757648	Nest2326477772256	23.2951726142969
Wasp2326477241408	Nest2326477436000	Nest2326477437536	47.20068058316821
Wasp2326477241456	Nest2326477437584	Nest2326476465296	11.468523434800456
Wasp2326477241456	Nest2326476465296	Nest2326477758224	25.054864270897248
Wasp2326477241552	Nest2326477465488	Nest2326476466544	12.342091950610403
Wasp2326477241552	Nest2326476466544	Nest2326477771728	1.550680090290041
Wasp2326477241600	Nest2326476409920	Nest2326476468032	29.673898769845117
Wasp2326477241696	Nest2326477212208	Nest2326477211824	26.475678639587773
Wasp2326477241984	Nest2326477757696	Nest2326477771200	58.347265031870116
Wasp2326477242080	Nest2326477754960	Nest2326477757744	12.268243465007307
Wasp2326477242320	Nest2326477466448	Nest2326477210576	8.129788945785883
Wasp2326477267008	Nest2326476468080	Nest2326477758272	4.107656044483707
Wasp2326477267152	Nest2326477465536	Nest2326476409968	14.545676982466215
Wasp2326477267536	Nest2326477755008	Nest2326477772400	4.261256261036342
Wasp2326477267728	Nest2326476465344	Nest2326477771776	13.703821869786724
Wasp2326477267776	Nest2326476464192	Nest2326477771248	21.76539104302129
Wasp2326477267920	Nest2326477438544	Nest2326476465392	24.86404718750831
Wasp2326477267920	Nest2326476465392	Nest2326477756688	29.20579037156548
Wasp2326477268016	Nest2326477369248	Nest2326477408672	15.808239844295349
Wasp2326477268256	Nest2326477464192	Nest2326477210432	17.091224140429485
Wasp2326477268448	Nest2326477408720	Nest2326477410208	2.315207534782898
Wasp2326477268784	Nest2326477465584	Nest2326477466640	28.042844404266077
Wasp2326477269312	Nest2326476410160	Nest2326477758320	12.387016229494884
Wasp2326477269360	Nest2326477437680	Nest2326477466688	6.2125905890897934
Wasp2326477269456	Nest2326477407136	Nest2326477210048	11.56211787806306
Wasp2326477269648	Nest2326477369296	Nest2326477408768	44.77190565413465
Wasp2326477269648	Nest2326477408768	Nest2326477464336	46.034319732691024
Wasp2326477269648	Nest2326477464336	Nest2326476466784	40.046965227489856
Wasp2326477269696	Nest2326476410208	Nest2326476466832	6.6620012996608695
Wasp2326477269744	Nest2326477407184	Nest2326477465680	49.97411457681047
Wasp2326477269744	Nest2326477465680	Nest2326476464240	50.05342828527159
Wasp2326477269984	Nest2326477407232	Nest2326476410256	42.958360194040125
Wasp2326477270224	Nest2326476465536	Nest2326476466880	15.637451048500198
Wasp2326477270368	Nest2326476465584	Nest2326477755152	3.7362608408548175
Wasp2326477270704	Nest2326476467648	Nest2326477758368	25.14044497688227
Wasp2326477270752	Nest2326477438592	Nest2326477212304	9.123442680824175
Wasp2326477299920	Nest2326477407280	Nest2326477434944	32.13760335125848
Wasp2326477299968	Nest2326476465728	Nest2326476467696	10.447829519148282
Wasp2326477300064	Nest2326477210480	Nest2326477211536	30.185748939215323
Wasp2326477300064	Nest2326477211536	Nest2326477756832	49.5917594259851
Wasp2326477300208	Nest2326477212352	Nest2326477757888	6.560904806238055
Wasp2326477300352	Nest2326477406320	Nest2326477464576	21.768826917486265
Wasp2326477300352	Nest2326477464576	Nest2326476464288	20.941180962943623
Wasp2326477300352	Nest2326476464288	Nest2326477756880	19.704002363770496
Wasp2326477300400	Nest2326477408816	Nest2326477211248	12.877808588429751
Wasp2326477300448	Nest2326477464624	Nest2326477466832	44.83696758144027
Wasp2326477300832	Nest2326477408240	Nest2326477464720	49.007601074666795
Wasp2326477301120	Nest2326477409680	Nest2326477211296	31.67875360945874
Wasp2326477301216	Nest2326477436528	Nest2326477437824	4.748947319347605
Wasp2326477301264	Nest2326477408864	Nest2326477435040	24.385909121311606
Wasp2326477301264	Nest2326477435040	Nest2326477464768	38.91376232908223
Wasp2326477301360	Nest2326477211056	Nest2326477771344	14.0778504515055
Wasp2326477301552	Nest2326477438736	Nest2326477755536	12.113153691606323
Wasp2326477301600	Nest2326477757216	Nest2326477771392	37.63331109660063
Wasp2326477301744	Nest2326477754480	Nest2326477758416	33.19881722414225
Wasp2326477301936	Nest2326477211584	Nest2326477770816	26.579475068970563
Wasp2326477302128	Nest2326476410448	Nest2326477755584	10.873943518243559
Wasp2326477302224	Nest2326477438784	Nest2326476466928	22.82850998947186
Wasp2326477302464	Nest2326477406464	Nest2326477210528	33.645533023199995
Wasp2326477302608	Nest2326476464384	Nest2326476465824	9.028487324359553
Wasp2326477302944	Nest2326477437872	Nest2326477466976	42.01790134320049
Wasp2326477303328	Nest2326477209904	Nest2326477772592	10.79051247571611
Wasp2326477332640	Nest2326477212112	Nest2326477212496	33.622952770828
Wasp2326477332832	Nest2326477465776	Nest2326477770864	9.047661506272624
Wasp2326477332928	Nest2326477409824	Nest2326477467072	41.06546252685824
Wasp2326477333264	Nest2326477467120	Nest2326477770912	18.346585329614207
Wasp2326477333504	Nest2326477465872	Nest2326477758032	14.379395199874319
Wasp2326477333744	Nest2326477408288	Nest2326477436864	24.406654138374854
Wasp2326477333792	Nest2326477435184	Nest2326477209664	22.02981399706154
Wasp2326477333984	Nest2326477436912	Nest2326477437968	10.47219597728602
Wasp2326477334368	Nest2326477438880	Nest2326477757312	22.551170817384744
Wasp2326477334752	Nest2326477463616	Nest2326477210624	12.350289687399705
Wasp2326477334944	Nest2326476464576	Nest2326477757360	20.818663414507604
Wasp2326477335088	Nest2326477465008	Nest2326477754576	37.206983674888804
Wasp2326477335376	Nest2326477435328	Nest2326477465056	43.282410271748205
Wasp2326477335712	Nest2326477435376	Nest2326476467840	33.939582319870304
Wasp2326477335808	Nest2326477406656	Nest2326477438016	27.271314639276405
Wasp2326477335952	Nest2326477408384	Nest2326477755296	67.02967875785927
Wasp2326477335952	Nest2326477755296	Nest2326477772640	28.942739704599372
Wasp2326477336048	Nest2326477408432	Nest2326476467072	20.608567688637788
Wasp2326477336240	Nest2326477435424	Nest2326477467216	15.216818684648187
Wasp2326477336336	Nest2326477409056	Nest2326477770960	14.267820079781151
Wasp2326477336480	Nest2326477437152	Nest2326476467888	12.196604870485995
Wasp2326477365456	Nest2326477209712	Nest2326476464624	31.411258770294552
Wasp2326477366080	Nest2326477409872	Nest2326477435568	33.537502481147456
Wasp2326477366368	Nest2326477369008	Nest2326477408480	13.473334493191508
Wasp2326477366416	Nest2326477435616	Nest2326477210672	23.499326632337418
Wasp2326477366464	Nest2326477755920	Nest2326477772112	23.96622260696861
Wasp2326477366752	Nest2326477755968	Nest2326477757408	12.273396163906177
Wasp2326477367472	Nest2326477467456	Nest2326476466400	7.4049638013245405
Wasp2326477367664	Nest2326477407904	Nest2326477211728	65.105427102587
Wasp2326477367808	Nest2326477465200	Nest2326476464768	23.217538672886203
Wasp2326477367904	Nest2326477409968	Nest2326477211968	20.3198690508361
Wasp2326477368000	Nest2326476464816	Nest2326477771584	46.15809578508688
Wasp2326477368240	Nest2326477463808	Nest2326477466160	5.752743810340833
Wasp2326477368576	Nest2326477754768	Nest2326477757552	27.024774310117905
