"id"	"x"	"y"	"model"
"1"	"Intercept"	-24.3174496269772	2.07548482047918e-12	67
"2"	"Intercept"	-20.6286175523532	2.14780402927527e-08	67
"3"	"Intercept"	-19.4466490712885	1.73126479195433e-07	67
"4"	"Intercept"	-18.0756449885769	1.58015283092765e-06	67
"5"	"Intercept"	-16.9397854777292	8.45010682574181e-06	67
"6"	"Intercept"	-16.5596964521446	1.43725365327357e-05	67
"7"	"Intercept"	-15.0953694404171	9.78711471055839e-05	67
"8"	"Intercept"	-14.8777305164278	0.000128062628051746	67
"9"	"Intercept"	-13.5781134642889	0.000588941694781241	67
"10"	"Intercept"	-13.2509534031051	0.000847262320971622	67
"11"	"Intercept"	-12.9786628015687	0.00113989675678462	67
"12"	"Intercept"	-11.506022691122	0.00516961636497451	67
"13"	"Intercept"	-11.4065373657931	0.00569310824060075	67
"14"	"Intercept"	-10.8229266760774	0.00987541123503131	67
"15"	"Intercept"	-9.86156127978917	0.0230501722630859	67
"16"	"Intercept"	-9.08874679943781	0.0428641079898964	67
"17"	"Intercept"	-8.60537162154432	0.0611741764978288	67
"18"	"Intercept"	-8.24468503023189	0.0783063765194708	67
"19"	"Intercept"	-7.95621584880876	0.0941948892000174	67
"20"	"Intercept"	-7.71035636967464	0.109183296555826	67
"21"	"Intercept"	-7.49537586609767	0.123247007360629	67
"22"	"Intercept"	-7.30273577864492	0.136450579941203	67
"23"	"Intercept"	-7.12632036059663	0.148879476408967	67
"24"	"Intercept"	-6.96417702344285	0.160427241289404	67
"25"	"Intercept"	-6.81491737702735	0.171012695256056	67
"26"	"Intercept"	-6.67189975829295	0.180971698632613	67
"27"	"Intercept"	-6.53722170186315	0.19004734194428	67
"28"	"Intercept"	-6.40891779915026	0.198291109981842	67
"29"	"Intercept"	-6.28398746805005	0.205818719021969	67
"30"	"Intercept"	-6.16548827097385	0.212390316581155	67
"31"	"Intercept"	-6.04806161389697	0.218248383635925	67
"32"	"Intercept"	-5.9357909702594	0.223143801317121	67
"33"	"Intercept"	-5.89100182998012	0.224883644398281	67
"34"	"Intercept"	-5.84621268970083	0.226493480021276	67
"35"	"Intercept"	-5.82381811956118	0.227247926197101	67
"36"	"Intercept"	-5.80191754648417	0.227952317051408	67
"37"	"Intercept"	-5.75853361207491	0.229247686257455	67
"38"	"Intercept"	-5.71514967766565	0.230406251152723	67
"39"	"Intercept"	-5.67176574325639	0.231423504648695	67
"40"	"Intercept"	-5.62838180884713	0.232295082713997	67
"41"	"Intercept"	-5.6066898416425	0.232674913967856	67
"42"	"Intercept"	-5.58511081974899	0.233015080070893	67
"43"	"Intercept"	-5.54236403822164	0.233576074201116	67
"44"	"Intercept"	-5.4996172566943	0.233984146549167	67
"45"	"Intercept"	-5.39275030287593	0.234314629964401	67
"46"	"Intercept"	-5.28557174797295	0.233623519542814	67
"47"	"Intercept"	-5.17830029798634	0.23187513355258	67
"48"	"Intercept"	-5.06926889335296	0.228997171684564	67
"49"	"Intercept"	-4.95940049837617	0.224974032880529	67
"50"	"Intercept"	-4.84627329838991	0.219673410591451	67
"51"	"Intercept"	-4.73126907433687	0.213124173611272	67
"52"	"Intercept"	-4.61065138086803	0.20507261127134	67
"53"	"Intercept"	-4.48742336674481	0.195705012348607	67
"54"	"Intercept"	-4.35373492639472	0.184401931230941	67
"55"	"Intercept"	-4.21484369293577	0.171633740933172	67
"56"	"Intercept"	-4.06213866453443	0.156704621926095	67
"57"	"Intercept"	-3.89155419391665	0.139374566416662	67
"58"	"Intercept"	-3.69850727596672	0.119642725469362	67
"59"	"Intercept"	-3.46768386757737	0.0969325405296609	67
"60"	"Intercept"	-3.17113491267705	0.0707234098788343	67
"61"	"Intercept"	-2.71133661446709	0.0394027270691106	67
"62"	"Intercept"	-2.15783302792891	0.0170924236686072	67
"63"	"Intercept"	-1.77315379581926	0.00897582363190932	67
"64"	"Intercept"	-0.892560837121978	0.00184223426419637	67
"65"	"Intercept"	-0.510763004004768	0.000908804826358121	67
"66"	"Intercept"	-0.340041141920988	0.000661792373141217	67
"67"	"Intercept"	0.358620300963969	0.000180848636565229	67
"68"	"Intercept"	1.50437489539103	2.18207552102598e-05	67
"69"	"Intercept"	1.59666122276632	1.8414566510896e-05	67
"70"	"Intercept"	2.84564486268516	1.84086894133888e-06	67
"71"	"Intercept"	3.34879093270305	7.20093456718969e-07	67
"72"	"Intercept"	4.04036330364953	1.9414728597789e-07	67
"73"	"Intercept"	5.19320697001507	2.01984392128391e-08	67
"74"	"Intercept"	8.88203904463911	5.22562875188108e-12	67
"75"	"Intercept"	12.5708711192631	5.90747531096403e-17	67
"76"	"NDVI"	-29.9839190990139	1.57731052289638e-16	67
"77"	"NDVI"	-26.0087382638289	1.31790280679138e-10	67
"78"	"NDVI"	-23.0317493847826	2.19033644369993e-07	67
"79"	"NDVI"	-22.0335574286439	1.7235384385813e-06	67
"80"	"NDVI"	-21.9559226926625	2.00552928954675e-06	67
"81"	"NDVI"	-20.756535503473	1.7714631658877e-05	67
"82"	"NDVI"	-20.0459670110514	5.5860748068088e-05	67
"83"	"NDVI"	-19.3730153453325	0.000150762687884165	67
"84"	"NDVI"	-18.239033006854	0.000659933779039096	67
"85"	"NDVI"	-18.0583765934589	0.000817269723534941	67
"86"	"NDVI"	-17.7014202552357	0.00122701692340724	67
"87"	"NDVI"	-16.2742741279662	0.00511660631446957	67
"88"	"NDVI"	-16.0707861758664	0.00612629525659592	67
"89"	"NDVI"	-15.5672060363415	0.00935726073095535	67
"90"	"NDVI"	-14.5294787288138	0.0206608429466291	67
