"np"	"dist"	"gamma"	"dir.hor"	"dir.ver"	"id"	"model"
"1"	5545	1.99785633647198	0.0708452679791537	0	0	"var1"	67
"2"	10762	5.14738873412585	0.289292161851914	0	0	"var1"	67
"3"	14945	8.40765672350057	0.295464768350644	0	0	"var1"	67
"4"	19737	11.7346256061572	0.312410274062695	0	0	"var1"	67
"5"	21241	15.0185046640781	0.385296314691574	0	0	"var1"	67
"6"	23747	18.3591794701968	0.348239171870394	0	0	"var1"	67
"7"	23199	21.6546046130636	0.407018043363368	0	0	"var1"	67
"8"	21683	24.9724653585384	0.3953694149296	0	0	"var1"	67
"9"	19248	28.3092525871721	0.40987336421053	0	0	"var1"	67
"10"	17670	31.6317962175911	0.414834102265774	0	0	"var1"	67
"11"	16713	34.9919879889454	0.398211346378259	0	0	"var1"	67
"12"	15489	38.3263513590637	0.360261460838704	0	0	"var1"	67
"13"	14060	41.6010212618276	0.324637713304754	0	0	"var1"	67
"14"	12302	44.9597590606037	0.306950853241912	0	0	"var1"	67
"15"	9582	48.2677995128795	0.341967174973981	0	0	"var1"	67
"16"	5680	1.96955297553349	0.0687248068397345	0	0	"var1"	625
"17"	10430	5.14172922900668	0.279959614384214	0	0	"var1"	625
"18"	15113	8.42735963008135	0.282901752495532	0	0	"var1"	625
"19"	19717	11.7231257470657	0.337695421696185	0	0	"var1"	625
"20"	21799	15.0234045488304	0.433606064128481	0	0	"var1"	625
"21"	23439	18.3495487842163	0.393937973315336	0	0	"var1"	625
"22"	23177	21.6540336738107	0.452692068610384	0	0	"var1"	625
"23"	21822	24.9637440158437	0.433102434094989	0	0	"var1"	625
"24"	19827	28.3259348312328	0.434238534137359	0	0	"var1"	625
"25"	18445	31.6158273414846	0.422557498018001	0	0	"var1"	625
"26"	16860	34.9967711330743	0.394983023212569	0	0	"var1"	625
"27"	15375	38.3072087158464	0.375050665273208	0	0	"var1"	625
"28"	14129	41.607555350891	0.344444957461733	0	0	"var1"	625
"29"	12212	44.9463962560081	0.328487453606147	0	0	"var1"	625
"30"	9469	48.3021234350688	0.353503515815846	0	0	"var1"	625
"31"	5585	1.95669368246249	0.0540334349274263	0	0	"var1"	878
"32"	10089	5.11354524297352	0.207561531567175	0	0	"var1"	878
"33"	14535	8.42467892394265	0.215073298318554	0	0	"var1"	878
"34"	19114	11.7111703778019	0.255202131939274	0	0	"var1"	878
"35"	21062	15.0279547413051	0.35828334493614	0	0	"var1"	878
"36"	23291	18.3631861541172	0.310694665725801	0	0	"var1"	878
"37"	22224	21.6315464556698	0.363592952056775	0	0	"var1"	878
"38"	21319	24.9702081937162	0.36692665265528	0	0	"var1"	878
"39"	19506	28.3180772998669	0.363521930960516	0	0	"var1"	878
"40"	18052	31.6386252421619	0.361239657205879	0	0	"var1"	878
"41"	17048	34.9871873932046	0.336537551677486	0	0	"var1"	878
"42"	15628	38.3187365814931	0.308594920088717	0	0	"var1"	878
"43"	14139	41.6049481640705	0.264178852347777	0	0	"var1"	878
"44"	12651	44.9390352274138	0.254238044048597	0	0	"var1"	878
"45"	9909	48.2975959195825	0.299352770666298	0	0	"var1"	878
"46"	5654	1.95194518096718	0.0649508254732906	0	0	"var1"	628
"47"	10637	5.12602193744029	0.255965782935336	0	0	"var1"	628
"48"	15614	8.42172909194103	0.24734963270592	0	0	"var1"	628
"49"	20283	11.7162097015306	0.288911844522548	0	0	"var1"	628
"50"	21776	15.015060436738	0.372701687445944	0	0	"var1"	628
"51"	23872	18.3651136024914	0.324215600413565	0	0	"var1"	628
"52"	23180	21.6470846606331	0.376799682868668	0	0	"var1"	628
"53"	22062	24.9598923405449	0.370463596774978	0	0	"var1"	628
"54"	20189	28.3320457728392	0.372521443261014	0	0	"var1"	628
"55"	18628	31.6187043153813	0.363476178923197	0	0	"var1"	628
