"np"	"dist"	"gamma"	"dir.hor"	"dir.ver"	"id"	"model"
"1"	5545	1.99785633647198	0.0119125332548735	0	0	"var1"	67
"2"	10762	5.14738873412585	0.0383093033604375	0	0	"var1"	67
"3"	14945	8.40765672350057	0.0408125547090607	0	0	"var1"	67
"4"	19737	11.7346256061572	0.0371607975658711	0	0	"var1"	67
"5"	21241	15.0185046640781	0.0386327158210535	0	0	"var1"	67
"6"	23747	18.3591794701968	0.034551947931094	0	0	"var1"	67
"7"	23199	21.6546046130636	0.0400782842733573	0	0	"var1"	67
"8"	21683	24.9724653585384	0.038210639144633	0	0	"var1"	67
"9"	19248	28.3092525871721	0.0366390928939144	0	0	"var1"	67
"10"	17670	31.6317962175911	0.0357379476330464	0	0	"var1"	67
"11"	16713	34.9919879889454	0.0369698552666903	0	0	"var1"	67
"12"	15489	38.3263513590637	0.0344715109015641	0	0	"var1"	67
"13"	14060	41.6010212618276	0.0317336124334443	0	0	"var1"	67
"14"	12302	44.9597590606037	0.0309329390525627	0	0	"var1"	67
"15"	9582	48.2677995128795	0.0338932096147847	0	0	"var1"	67
"16"	5680	1.96955297553349	0.0107314700038013	0	0	"var1"	625
"17"	10430	5.14172922900668	0.0316237901874234	0	0	"var1"	625
"18"	15113	8.42735963008135	0.0339722595652184	0	0	"var1"	625
"19"	19717	11.7231257470657	0.0356680950352159	0	0	"var1"	625
"20"	21799	15.0234045488304	0.0351632642310486	0	0	"var1"	625
"21"	23439	18.3495487842163	0.0338863320132697	0	0	"var1"	625
"22"	23177	21.6540336738107	0.0378571849984978	0	0	"var1"	625
"23"	21822	24.9637440158437	0.0359775582194333	0	0	"var1"	625
"24"	19827	28.3259348312328	0.0346417877449498	0	0	"var1"	625
"25"	18445	31.6158273414846	0.0328494144701324	0	0	"var1"	625
"26"	16860	34.9967711330743	0.032094380604008	0	0	"var1"	625
"27"	15375	38.3072087158464	0.0288061582226856	0	0	"var1"	625
"28"	14129	41.607555350891	0.0293405634346407	0	0	"var1"	625
"29"	12212	44.9463962560081	0.0270558358350501	0	0	"var1"	625
"30"	9469	48.3021234350688	0.0278259593345189	0	0	"var1"	625
"31"	5585	1.95669368246249	0.00978272303511647	0	0	"var1"	878
"32"	10089	5.11354524297352	0.0321783523651702	0	0	"var1"	878
"33"	14535	8.42467892394265	0.0313029265019351	0	0	"var1"	878
"34"	19114	11.7111703778019	0.0322658068937999	0	0	"var1"	878
"35"	21062	15.0279547413051	0.0370131311280941	0	0	"var1"	878
"36"	23291	18.3631861541172	0.0319420596228616	0	0	"var1"	878
"37"	22224	21.6315464556698	0.0378993483779995	0	0	"var1"	878
"38"	21319	24.9702081937162	0.0366198322268605	0	0	"var1"	878
"39"	19506	28.3180772998669	0.0358392169410616	0	0	"var1"	878
"40"	18052	31.6386252421619	0.0335519467382961	0	0	"var1"	878
"41"	17048	34.9871873932046	0.0319923393616647	0	0	"var1"	878
"42"	15628	38.3187365814931	0.0306014226543948	0	0	"var1"	878
"43"	14139	41.6049481640705	0.0267561865556853	0	0	"var1"	878
"44"	12651	44.9390352274138	0.0265463472488448	0	0	"var1"	878
"45"	9909	48.2975959195825	0.0293267298520038	0	0	"var1"	878
"46"	5654	1.95194518096718	0.0113307058453335	0	0	"var1"	628
"47"	10637	5.12602193744029	0.0343487780391	0	0	"var1"	628
"48"	15614	8.42172909194103	0.0336901537155773	0	0	"var1"	628
"49"	20283	11.7162097015306	0.0342442299538351	0	0	"var1"	628
"50"	21776	15.015060436738	0.0349836690267623	0	0	"var1"	628
"51"	23872	18.3651136024914	0.0307749109901641	0	0	"var1"	628
"52"	23180	21.6470846606331	0.0350700925428558	0	0	"var1"	628
"53"	22062	24.9598923405449	0.0356819300940692	0	0	"var1"	628
